x,Curve1
-89.361,116.76
-77.024,228.2
-62.373,472.7
-45.561,257.8
-33.571,123.28
-23.132,74.33
-9.41,43.56
6.819,26.68
19.957,18.61
35.603,13.369
50.282,10.325
59.36,8.69
