x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6
0.02422,-0.2732,-0.16305,-0.00421,-0.03035,-0.00319,-0.01356
0.04331,0.01263,0.04427,0.04492,0.01024,0.00999,-0.01085
0.05234,0.26737,0.13952,0.0715,0.02974,0.01631,-0.00702
0.05416,0.30654,0.15863,0.07748,0.03369,0.01759,-0.00613
0.05429,0.30913,0.16,0.07792,0.03397,0.01768,-0.00607
0.05834,0.38164,0.20256,0.09263,0.04275,0.02054,-0.00401
0.06127,0.43158,0.23339,0.10503,0.04907,0.0226,-0.00245
0.06784,0.55064,0.30316,0.14035,0.06323,0.02724,0.00117
0.0732,0.64374,0.36017,0.17378,0.07472,0.03103,0.00421
0.07387,0.65474,0.36716,0.17783,0.07615,0.0315,0.00459
0.07701,0.70311,0.39905,0.19579,0.08281,0.03372,0.00637
0.07993,0.74213,0.42731,0.21109,0.089,0.03579,0.00802
0.08398,0.78613,0.46316,0.23049,0.09749,0.03866,0.01025
0.09574,0.86947,0.53954,0.2789,0.12158,0.04697,0.01622
0.096,0.87083,0.54081,0.27987,0.12211,0.04715,0.01634
0.10679,0.91639,0.58526,0.31617,0.14304,0.05475,0.0205
0.10806,0.92076,0.58976,0.32,0.1454,0.05564,0.02086
0.10878,0.92316,0.59226,0.32214,0.14672,0.05615,0.02105
0.12791,0.97125,0.64736,0.36966,0.1777,0.06947,0.02294
0.14023,0.98945,0.67276,0.39319,0.19348,0.07785,0.02316
0.14041,0.98964,0.67307,0.39349,0.19368,0.07796,0.02317
0.14226,0.99158,0.67622,0.39664,0.1958,0.07919,0.0233
0.14836,0.99654,0.68541,0.40631,0.20237,0.08312,0.02395
0.15432,0.9995,0.69263,0.41485,0.20836,0.0868,0.02484
0.16865,1.00064,0.70348,0.43181,0.22146,0.09474,0.02754
0.17786,0.9983,0.7069,0.44025,0.22922,0.0991,0.02948
0.18603,0.99519,0.70833,0.44632,0.23582,0.10249,0.0312
0.19484,0.99158,0.70868,0.4515,0.24279,0.10571,0.03302
0.19664,0.99088,0.70864,0.45239,0.24421,0.10632,0.03339
0.21506,0.98483,0.70737,0.45821,0.25832,0.11158,0.03692
0.21516,0.9848,0.70737,0.45823,0.25839,0.1116,0.03694
0.22058,0.98331,0.70713,0.45895,0.26189,0.11286,0.03788
0.22066,0.98328,0.70712,0.45896,0.26194,0.11288,0.0379
0.23275,0.98021,0.70714,0.45946,0.26737,0.11539,0.03982
0.24637,0.97684,0.7076,0.4592,0.27005,0.11795,0.04181
0.26242,0.9724,0.70759,0.45895,0.27117,0.121,0.04421
0.26284,0.97227,0.70757,0.45895,0.27118,0.12108,0.04427
0.26568,0.97141,0.70737,0.45897,0.27129,0.12168,0.04473
0.26765,0.9708,0.70718,0.459,0.27136,0.12211,0.04506
0.27399,0.96879,0.70632,0.45915,0.27158,0.12361,0.04613
0.29378,0.96211,0.70149,0.45995,0.27257,0.12937,0.04938
0.30211,0.95919,0.69869,0.46036,0.27305,0.13199,0.05052
0.30426,0.95843,0.69791,0.46046,0.27317,0.13263,0.05078
0.31257,0.9555,0.69474,0.46084,0.27359,0.13498,0.05165
0.31471,0.95474,0.69388,0.46093,0.27368,0.13554,0.05186
0.318,0.95358,0.69255,0.46106,0.2738,0.13636,0.05216
0.34293,0.94485,0.68252,0.46146,0.2739,0.14105,0.05462
0.34387,0.94452,0.68217,0.46146,0.27388,0.14117,0.05473
0.35028,0.94233,0.67997,0.46137,0.27368,0.14185,0.05556
0.35406,0.94105,0.67881,0.46129,0.27354,0.14217,0.05608
0.3574,0.93994,0.67789,0.46119,0.2734,0.14241,0.05655
0.3613,0.93865,0.67697,0.46106,0.27323,0.14263,0.05713
0.38004,0.93272,0.67437,0.4601,0.27225,0.14316,0.06008
0.39203,0.9291,0.67382,0.45932,0.27158,0.14322,0.06207
0.39738,0.92752,0.6737,0.45895,0.27127,0.14318,0.06296
0.39812,0.9273,0.67368,0.4589,0.27123,0.14317,0.06309
0.39852,0.92719,0.67368,0.45887,0.27121,0.14317,0.06316
0.39912,0.92701,0.67366,0.45883,0.27117,0.14316,0.06326
0.40147,0.92632,0.67361,0.45867,0.27104,0.14314,0.06365
