x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6
0.1935,-0.00145,0.04646,0.12,0.13131,-0.13324,-27.48397
0.2323,0.00842,0.05892,0.16896,0.14084,0.49895,-1.39903
0.2581,0.01504,0.06737,0.19262,0.15368,0.60421,0.73263
0.271,0.0183,0.0716,0.20209,0.16453,0.67136,0.85684
0.2839,0.02149,0.07581,0.21031,0.28842,0.68505,0.98758
0.3097,0.02761,0.08416,0.22385,0.42316,0.69825,0.99213
0.3226,0.03052,0.08828,0.22947,0.43064,0.70185,0.99263
0.3484,0.03599,0.09631,0.23899,0.44085,0.70593,0.99158
0.3742,0.04098,0.10404,0.24675,0.44765,0.70737,0.98868
0.5419,0.06306,0.14241,0.27395,0.45895,0.69291,0.95302
0.6194,0.06881,0.15158,0.27863,0.45325,0.68126,0.93279
0.671,0.07158,0.15464,0.28,0.44784,0.67284,0.91885
0.9677,0.07842,0.15096,0.27293,0.41995,0.62316,0.83875
0.9806,0.07852,0.15057,0.27235,0.41895,0.62118,0.83545
1.1097,0.07894,0.14684,0.26612,0.40958,0.60311,0.80421
1.2774,0.07847,0.14316,0.25802,0.39854,0.58392,0.77017
1.3032,0.07833,0.14273,0.25684,0.39692,0.58132,0.76564
1.6129,0.0759,0.13962,0.24476,0.37865,0.55368,0.72421
1.6258,0.07579,0.13954,0.24433,0.37793,0.55258,0.72291
2,0.0729,0.13823,0.23403,0.35829,0.52162,0.69263
2.0516,0.07255,0.13813,0.23297,0.35579,0.51768,0.68902
2.129,0.07205,0.13798,0.23158,0.35216,0.51196,0.6837
2.5419,0.06985,0.13684,0.22775,0.33594,0.48563,0.65706
2.5677,0.06974,0.1367,0.22762,0.3351,0.48421,0.65549
2.6323,0.06947,0.13629,0.22729,0.33309,0.48078,0.65161
2.8645,0.06863,0.13403,0.22581,0.32632,0.46951,0.63824
2.929,0.06842,0.13318,0.22526,0.32447,0.46663,0.63471
3.2387,0.06736,0.12824,0.22189,0.31581,0.45397,0.61895
3.3677,0.06686,0.12632,0.22026,0.31242,0.44917,0.61305
3.6903,0.06526,0.1233,0.21589,0.30483,0.43815,0.6001
3.8839,0.06398,0.12212,0.21319,0.30105,0.43214,0.59353
3.9742,0.06333,0.12161,0.21194,0.29952,0.42947,0.59075
4.0774,0.06258,0.12102,0.21053,0.29794,0.42653,0.5878
4.2452,0.06138,0.12,0.20832,0.29571,0.42201,0.58349
4.4516,0.06009,0.11863,0.2058,0.29343,0.41692,0.57895
4.7613,0.05895,0.11656,0.20254,0.29067,0.41031,0.57341
5.0452,0.05898,0.11493,0.2,0.28852,0.40532,0.56897
5.0581,0.059,0.11487,0.19989,0.28842,0.40512,0.56877
5.2645,0.05947,0.11403,0.19821,0.2869,0.40211,0.56545
5.5226,0.06024,0.11368,0.19625,0.28492,0.39889,0.5608
5.6645,0.06063,0.11401,0.19524,0.28377,0.3973,0.55789
5.8968,0.06105,0.11533,0.19371,0.28173,0.39486,0.55259
6.271,0.06091,0.11775,0.19164,0.27789,0.39101,0.54321
6.2839,0.06089,0.1178,0.19158,0.27775,0.39087,0.54288
6.4903,0.06047,0.11789,0.19075,0.27527,0.3886,0.53758
6.5935,0.06021,0.11747,0.19043,0.27399,0.38737,0.53496
7.0323,0.05895,0.11363,0.18967,0.26865,0.38138,0.52473
7.0581,0.05888,0.11336,0.18965,0.26837,0.38101,0.52421
7.3032,0.05831,0.11069,0.18947,0.26606,0.3774,0.52
7.4323,0.05805,0.10934,0.18937,0.26526,0.37555,0.51829
7.6516,0.05764,0.10737,0.18914,0.26487,0.37257,0.51597
7.8194,0.05731,0.10628,0.1889,0.26521,0.37053,0.51438
8.0258,0.05684,0.10544,0.18851,0.26577,0.36833,0.51209
8.0645,0.05675,0.10534,0.18843,0.26582,0.36796,0.51158
8.2839,0.05617,0.10504,0.18788,0.26526,0.36598,0.50813
8.4516,0.05569,0.10506,0.18737,0.26364,0.36461,0.50503
8.7226,0.05488,0.10526,0.18639,0.25962,0.36254,0.49956
9.0581,0.05383,0.1054,0.185,0.2541,0.36,0.49263
9.1613,0.0535,0.10541,0.18454,0.25263,0.35915,0.49064
9.4323,0.05263,0.10536,0.18329,0.24996,0.35669,0.48604
9.7161,0.05172,0.10526,0.18193,0.24874,0.35374,0.48211
9.8968,0.05115,0.1052,0.18105,0.24846,0.35172,0.47968
9.9097,0.05111,0.10519,0.18099,0.24845,0.35158,0.4795
9.9355,0.05103,0.10518,0.18086,0.24842,0.35129,0.47913
