x,Curve1,Curve2
-86.514,0.00747,0.98099
-81.318,0.00874,0.94974
-77.595,0.00946,0.9133
-70.951,0.01402,0.77549
-65.838,0.02149,0.61427
-63.374,0.02623,0.51541
-61.883,0.02942,0.4509
-58.723,0.03684,0.32785
-54.401,0.04825,0.19846
-49.131,0.06404,0.09882
-38.466,0.10356,0.01844
-37.553,0.10764,0.01501
-28.422,0.16007,0.00811
-21.977,0.21424,0.00668
-15.871,0.27408,0.00422
-10.846,0.32708,0.00308
-0.678,0.43777,0.00253
0.346,0.44834,0.00256
9.879,0.54211,0.00299
16.369,0.60565,0.00301
19.862,0.63793,0.00272
29.277,0.71463,0.00135
29.883,0.71962,0.00127
39.273,0.78922,0.00122
41.852,0.8014,0.00161
49.867,0.82986,0.00343
53.82,0.84769,0.00407
59.876,0.8811,0.00234
60.192,0.88292,0.00213
