x,Curve1,Curve2,Curve3,Curve4,Curve5
2.563,-0.00012,0.17173,0.043,0.05927,0.01226
4.824,0.00672,0.02134,-0.00022,0.05081,0.00827
5.201,0.00694,-0.00024,-0.00681,0.04773,0.00756
6.708,-0.0031,-0.08953,-0.03518,0.03247,0.00465
7.23,-0.10335,-0.12447,-0.04683,0.02639,0.00362
7.839,-0.23723,-0.17223,-0.06302,0.01893,0.00242
7.899,-0.25095,-0.17755,-0.06481,0.01818,0.0023
8.266,-0.4041,-0.21521,-0.07717,0.01354,0.00158
8.353,-0.4297,-0.22591,-0.08049,0.01243,0.00141
8.437,-0.45097,-0.23742,-0.08392,0.01135,0.00124
9.084,-0.57954,-0.42842,-0.1193,0.00298,-3e-05
9.167,-0.59447,-0.46261,-0.1253,0.00191,-0.00019
9.347,-0.627,-0.50726,-0.13972,-0.00043,-0.00054
9.903,-0.74385,-0.58798,-0.19245,-0.00766,-0.00162
10.087,-0.79876,-0.61189,-0.20928,-0.01005,-0.00198
10.137,-0.81153,-0.61857,-0.21353,-0.01069,-0.00207
10.798,-0.89702,-0.71651,-0.26153,-0.01909,-0.00333
11.257,-0.92645,-0.78289,-0.28901,-0.02477,-0.00418
11.814,-0.95326,-0.83337,-0.31795,-0.03138,-0.00519
12.534,-0.97929,-0.86091,-0.34801,-0.03936,-0.00645
13.113,-0.99398,-0.87618,-0.36605,-0.04516,-0.00741
13.394,-0.99878,-0.88225,-0.37371,-0.04773,-0.00786
13.505,-1.00016,-0.8844,-0.37665,-0.04871,-0.00803
14.17,-1.00053,-0.89416,-0.39291,-0.05399,-0.00901
15.547,-0.96107,-0.89446,-0.41605,-0.06234,-0.01072
15.694,-0.95572,-0.89257,-0.41747,-0.06307,-0.01088
15.803,-0.95183,-0.89091,-0.41837,-0.0636,-0.011
17.408,-0.89716,-0.8474,-0.41937,-0.07041,-0.01273
18.187,-0.86674,-0.81907,-0.41479,-0.07329,-0.01374
18.818,-0.83537,-0.79592,-0.41015,-0.07549,-0.01475
18.843,-0.83402,-0.79504,-0.40997,-0.07557,-0.0148
19.021,-0.82426,-0.78882,-0.40861,-0.07616,-0.01512
20.228,-0.76382,-0.75071,-0.39915,-0.07993,-0.01759
22.288,-0.69085,-0.6899,-0.38247,-0.08506,-0.02054
22.495,-0.68426,-0.68318,-0.38078,-0.08546,-0.02065
23.667,-0.64771,-0.6425,-0.37105,-0.08718,-0.02059
23.779,-0.64426,-0.63856,-0.3701,-0.08728,-0.02052
23.964,-0.63851,-0.63202,-0.3685,-0.08742,-0.02039
25.153,-0.60185,-0.5923,-0.35755,-0.08733,-0.01907
26.498,-0.56157,-0.55529,-0.34324,-0.08549,-0.01706
27.492,-0.53335,-0.53426,-0.3326,-0.08379,-0.0155
27.706,-0.5275,-0.53026,-0.33047,-0.08347,-0.01517
29.241,-0.48824,-0.50494,-0.31562,-0.0821,-0.01319
29.453,-0.4832,-0.50175,-0.3132,-0.08205,-0.01299
30.301,-0.46386,-0.48925,-0.3015,-0.08212,-0.01254
30.811,-0.45288,-0.48165,-0.29656,-0.0823,-0.01261
31.252,-0.44374,-0.47477,-0.29334,-0.08252,-0.0129
31.933,-0.43025,-0.46301,-0.289,-0.08293,-0.01373
33.751,-0.39738,-0.42516,-0.2772,-0.08423,-0.017
34.044,-0.39245,-0.41921,-0.27493,-0.08443,-0.01744
35.275,-0.37267,-0.39947,-0.26444,-0.08513,-0.01834
36.307,-0.35725,-0.38591,-0.25686,-0.08527,-0.0178
36.477,-0.35481,-0.38365,-0.25585,-0.08522,-0.01762
36.617,-0.35282,-0.38176,-0.25506,-0.08515,-0.01747
36.837,-0.34974,-0.37879,-0.25392,-0.08498,-0.0172
38.797,-0.32419,-0.3554,-0.24598,-0.07992,-0.01411
40.02,-0.30941,-0.35033,-0.24105,-0.07703,-0.01199
40.538,-0.30326,-0.34765,-0.23854,-0.07673,-0.01118
40.606,-0.30244,-0.34713,-0.23818,-0.07671,-0.01108
41.231,-0.29496,-0.34088,-0.23449,-0.07672,-0.01027
41.288,-0.29426,-0.34022,-0.23412,-0.07673,-0.0102
42.945,-0.27424,-0.31939,-0.22314,-0.07737,-0.00943
43.78,-0.26502,-0.31065,-0.2192,-0.07767,-0.00968
44.906,-0.25451,-0.30278,-0.21709,-0.07774,-0.01025
45.512,-0.24991,-0.29962,-0.21637,-0.07752,-0.01045
45.753,-0.24828,-0.29844,-0.21598,-0.07736,-0.01048
45.824,-0.24783,-0.2981,-0.21584,-0.0773,-0.01048
47.097,-0.24072,-0.29209,-0.211,-0.07562,-0.01013
47.168,-0.24037,-0.29175,-0.21056,-0.0755,-0.0101
49.656,-0.22823,-0.27516,-0.18941,-0.07046,-0.00852
50.639,-0.2223,-0.26357,-0.18295,-0.06929,-0.00799
50.804,-0.22116,-0.2615,-0.18212,-0.06922,-0.00793
51.026,-0.21953,-0.25875,-0.18113,-0.06919,-0.00785
51.17,-0.21843,-0.25704,-0.18056,-0.06922,-0.0078
51.844,-0.21284,-0.2502,-0.17865,-0.06979,-0.00766
54.181,-0.19207,-0.24196,-0.17742,-0.07496,-0.00783
55.013,-0.18631,-0.24154,-0.17783,-0.07682,-0.00801
55.623,-0.18318,-0.24101,-0.17809,-0.07776,-0.00814
55.703,-0.18283,-0.2409,-0.17812,-0.07784,-0.00815
56.442,-0.18017,-0.23928,-0.17803,-0.07817,-0.00827
56.446,-0.18016,-0.23927,-0.17803,-0.07817,-0.00827
59.534,-0.1756,-0.2255,-0.16539,-0.07334,-0.00837
59.688,-0.1755,-0.22472,-0.16425,-0.07296,-0.00837
59.838,-0.1754,-0.22396,-0.16315,-0.07259,-0.00836
59.92,-0.17534,-0.22355,-0.16256,-0.07239,-0.00836
60.075,-0.17524,-0.22277,-0.16145,-0.072,-0.00836
