x,Curve1
-54.077,0.001
-40.342,-0.0117
-29.079,-0.1028
-21.25,-0.3439
-17.183,-0.5786
-12.732,-0.7905
-7.703,-0.9567
-2.262,-1.012
6.423,-0.9238
15.326,-0.741
20.252,-0.6365
26.14,-0.4668
30.687,-0.3689
35.809,-0.2416
39.6,-0.1567
44.151,-0.0458
46.625,0.0391
