x,Curve1,Curve2
-99.475,90.878,12.105
-96.761,91.073,12.336
-96.759,91.361,12.336
-89.862,91.108,12.7
-75.8,90.567,12.727
-74.966,90.538,12.726
-61.268,90.257,12.755
-58.092,90.282,12.74
-48.846,90.628,12.778
-45.199,90.883,12.88
-33.845,91.338,13.095
-31.838,91.197,13.064
-19.785,88.337,12.546
-16.86,86.615,12.462
-11.522,75.386,12.484
-9.238,67.698,12.566
-7.364,62.426,12.659
-3.412,55.517,12.842
1.545,54.373,12.875
2.912,54.665,12.835
12.541,58.718,12.388
15.605,60.051,12.326
20.525,61.903,12.51
23.576,62.967,12.918
29.211,65.09,12.897
35.529,67.966,12.94
37.432,68.852,12.827
43.302,71.169,12.551
47.011,72.414,12.386
49.406,73.198,12.28
