x,Curve1
-99.558,2.4259
-85.478,2.4241
-72.707,2.5151
-55.981,2.902
-46.751,3.5675
-39.938,4.7148
-36.876,5.9552
-33.438,7.214
-29.833,8.0284
-26.863,7.3058
-23.536,6.1943
-20.769,5.1384
-16.316,4.0267
-8.845,3.211
1.457,2.7097
19.091,2.4297
32.793,2.3725
45.934,2.3709
49.313,2.3705
