x,Curve1
-96.012,0.00865
-81.483,0.00288
-69.061,0.00288
-53.122,0.00576
-38.59,0.00865
-30.125,0.06628
-24.212,0.18156
-19.441,0.36023
-14.429,0.55043
-11.085,0.68588
-4.44,0.86167
1.455,0.9366
12.967,0.99712
25.155,0.99712
35.937,1
49.3,1.00576
