x,Curve1,Curve2
-94.967,0.99139,0.00021
-94.483,0.99087,-0.00025
-86.203,0.9771,-0.00567
-84.749,0.97255,-0.00595
-75.353,0.9121,-0.00536
-74.352,0.90073,-0.00517
-68.245,0.80475,-0.00393
-63.475,0.70622,-0.00316
-62.764,0.68798,-0.00309
-57.298,0.52128,-0.0022
-52.922,0.38376,0.0004
-52.477,0.37015,0.00082
-45.876,0.20194,0.01567
-42.521,0.14663,0.03515
-37.15,0.07906,0.09949
-34.856,0.05664,0.14468
-31.082,0.03598,0.26652
-30.508,0.03409,0.28562
-26.984,0.02486,0.38837
-22.23,0.01579,0.5321
-20.126,0.01268,0.6003
-17.146,0.00944,0.69143
-12.731,0.0073,0.78834
-10.225,0.00685,0.83561
-7.181,0.00652,0.88374
0.633,0.00606,0.95114
5.521,0.00595,0.97449
11.524,0.00591,0.99372
21.754,0.00526,1.00195
22.729,0.00511,1.00228
35.392,0.00153,1.00875
37.176,0.00103,1.0096
46.595,-7e-05,1.01234
47.89,-9e-05,1.01213
50.328,-0.00013,1.00937
