x,Curve1
-59.098,-0.01159
-47.248,-0.04058
-41.484,-0.11014
-36.495,-0.2087
-31.76,-0.30725
-27.282,-0.41449
-20.833,-0.6
-16.626,-0.73623
-13.406,-0.83478
-6.913,-0.95072
-0.635,-1.0058
9.248,-0.95072
18.68,-0.81159
27.35,-0.67826
35.01,-0.54493
40.629,-0.44348
45.478,-0.36232
50.318,-0.29565
