x,Curve1,Curve2
-99.278,1.7457,7.198
-98.493,1.7724,7.222
-92.967,1.9785,7.31
-88.295,2.2008,7.259
-84.229,2.473,7.219
-79.228,3.02,7.226
-75.006,3.793,7.231
-70.481,5.135,7.136
-67.725,6.411,7.037
-63.674,9.647,6.88
-58.341,20.538,6.563
-58.158,21.205,6.548
-54.26,48.64,6.106
-52.145,93.95,5.81
-50.738,170.35,5.616
-50.515,189.4,5.586
-49.208,387.3,5.417
-47.252,863.1,5.173
-45.645,440.8,4.973
-44.203,195.13,4.79
-42.117,73.82,4.513
-41.843,66.57,4.475
-39.38,34.12,4.108
-35.669,18.196,3.484
-33.92,14.096,3.18
-32.118,11.038,2.874
-26.788,6.236,2.0647
-26,5.888,1.9581
-20.505,4.323,1.3134
-20.161,4.244,1.2812
-15.635,3.237,0.9426
-14.363,3.036,0.8685
-8.035,2.366,0.5972
-6.443,2.283,0.5504
-2.535,2.1432,0.4597
2.154,1.7811,0.3803
2.936,1.7508,0.3694
7.816,1.66,0.3172
10.052,1.5883,0.3028
15.257,1.4408,0.2824
18.464,1.4063,0.2744
24.642,1.3828,0.2639
27.525,1.361,0.2596
32.408,1.3078,0.2525
37.071,1.2686,0.2491
40.821,1.2371,0.2512
45.324,1.1899,0.2568
49.369,1.1432,0.257
49.881,1.1373,0.2565
