x,Curve1
-98.23,148.549
-82.06,140.193
-75.25,129.981
-70.96,119.149
-66.67,106.46
-63.1,92.534
-58.83,72.108
-53.83,54.468
-46.32,35.899
-41.67,25.068
-34.13,19.807
-15.07,17.64
8.67,17.95
29.54,18.569
48.6,18.569
