x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6
11.233,-0.0608,-0.1019,-0.0667,-0.2633,nan,nan
11.454,-0.07,-0.1054,-0.0985,-0.3524,nan,nan
11.674,-0.0793,-0.1091,-0.1267,-0.4412,nan,-0.3867
11.894,-0.0873,-0.1129,-0.1525,-0.5293,nan,-0.5933
12.555,-0.1024,-0.1257,-0.2226,-0.7733,nan,-0.6011
12.996,-0.1077,-0.1352,-0.2667,-0.707,nan,-0.6002
13.436,-0.1108,-0.1453,-0.3107,-0.8533,nan,-0.597
14.097,-0.113,-0.1612,-0.3808,-0.9433,nan,-0.589
14.317,-0.1133,-0.1667,-0.4067,-0.9403,nan,-0.5858
14.537,-0.1133,-0.1721,-0.4341,-0.9368,nan,-0.5823
15.419,-0.1123,-0.1932,-0.5199,-0.9206,-0.99,-0.5664
15.859,-0.1111,-0.203,-0.5467,-0.9114,-0.9828,-0.5575
18.062,-0.1027,-0.2407,-0.6125,-0.8538,-0.9408,-0.5067
18.282,-0.1016,-0.2434,-0.6155,-0.8467,-0.9357,-0.5012
19.163,-0.0974,-0.2526,-0.6236,-0.8141,-0.9133,-0.4787
20.705,-0.0895,-0.2633,-0.6274,-0.7438,-0.861,-0.4375
21.145,-0.0872,-0.2653,-0.6267,-0.7221,-0.8424,-0.4257
22.026,-0.0825,-0.2683,-0.6235,-0.68,-0.7991,-0.4026
22.247,-0.0814,-0.2689,-0.6224,-0.67,-0.7867,-0.3971
22.687,-0.079,-0.2699,-0.6199,-0.651,-0.7598,-0.3867
23.789,-0.0733,-0.2714,-0.6123,-0.6074,-0.7002,-0.3641
24.449,-0.07,-0.2718,-0.607,-0.5836,-0.6733,-0.3524
26.432,-0.0605,-0.2714,-0.5887,-0.52,-0.6063,-0.3206
27.313,-0.0567,-0.2706,-0.5797,-0.4944,-0.5792,-0.3067
29.956,-0.0463,-0.267,-0.5506,-0.4242,-0.5033,-0.2644
31.718,-0.0406,-0.2641,-0.5302,-0.3833,-0.457,-0.2369
32.159,-0.0393,-0.2633,-0.5251,-0.3744,-0.4459,-0.2302
32.599,-0.0381,-0.2626,-0.52,-0.3663,-0.4349,-0.2235
34.582,-0.0333,-0.2595,-0.4972,-0.3349,-0.3873,-0.1956
35.022,-0.0324,-0.2588,-0.4922,-0.3273,-0.377,-0.19
35.242,-0.032,-0.2584,-0.4898,-0.3233,-0.3718,-0.1873
35.463,-0.0316,-0.2581,-0.4873,-0.3193,-0.3667,-0.1847
41.189,-0.0243,-0.2479,-0.4267,-0.2198,-0.224,-0.1456
41.63,-0.0239,-0.2469,-0.4225,-0.2139,-0.2117,-0.1433
42.511,-0.0232,-0.2449,-0.4143,-0.2033,-0.1866,-0.1387
43.172,-0.0228,-0.2433,-0.4084,-0.1964,-0.1672,-0.1351
47.357,-0.02,-0.2321,-0.3736,-0.1671,-0.0333,-0.1121
47.797,-0.0197,-0.2308,-0.37,-0.1649,-0.0182,-0.1097
50.881,-0.0177,-0.222,-0.3447,-0.15,0.0921,-0.0936
53.744,-0.0159,-0.2139,-0.3213,-0.1288,0.2004,-0.08
56.608,-0.0144,-0.2061,-0.2984,-0.1067,0.3135,-0.0683
56.828,-0.0143,-0.2056,-0.2967,-0.1053,0.3224,-0.0675
57.709,-0.014,-0.2033,-0.2898,-0.1006,0.3581,-0.0643
60.573,-0.0133,-0.1966,-0.2694,-0.0887,0.4764,-0.055
65.198,-0.0136,-0.1872,-0.2433,-0.075,0.6735,-0.0423
65.859,-0.0137,-0.1859,-0.2401,-0.0733,0.7022,-0.0406
66.079,-0.0137,-0.1855,-0.239,-0.0728,0.7117,-0.04
72.688,-0.0137,-0.1733,-0.2091,-0.0576,1.0047,-0.0216
73.788,-0.0133,-0.1713,-0.2043,-0.0554,1.0544,-0.018
77.974,-0.0102,-0.1632,-0.1867,-0.048,1.2452,-0.0019
78.855,-0.0093,-0.1615,-0.183,-0.0467,1.2858,0.002
85.462,-0.0034,-0.1487,-0.1567,-0.0396,1.5931,0.0381
85.683,-0.0033,-0.1482,-0.1558,-0.0394,1.6034,0.0395
88.326,-0.0027,-0.1433,-0.1455,-0.0377,1.7279,0.0576
90.308,-0.0029,-0.1398,-0.1375,-0.0367,1.8217,0.0724
97.797,-0.0067,-0.1285,-0.1063,-0.0315,2.1794,0.1378
99.119,-0.0075,-0.1267,-0.1006,-0.0301,2.2431,0.1508
