x,Curve1
-129.345,-2.5759
-121.48,-1.9097
-114.802,-1.3816
-110.275,-0.9835
-99.996,-0.3658
-81.976,-0.0555
-69.699,-0.0299
-59.345,-0.0368
-47.553,0.005
-38.406,0.0222
