x,Curve1
-148.79,0.99197
-134.789,0.9621
-126.324,0.91193
-120.746,0.84756
-115.394,0.75093
-110.763,0.64823
-105.388,0.50523
-100.25,0.35214
-94.154,0.21319
-84.204,0.08241
-67.289,0.0123
-46.786,0.00277
-29.182,0.00325
-13.023,0.00167
0,0
