x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6
0.0124,-0.00206,0.01413,0.81794,-0.106,-0.04453,-0.01075
0.02584,-0.02899,-0.00199,-0.14697,-0.06075,-0.03094,-0.0048
0.04083,0.00234,-0.01214,-0.03079,-0.00805,-0.00996,-0.00046
0.04238,0.01985,-0.0019,-0.01596,-0.00258,-0.00754,-9e-05
0.04497,0.06831,0.03062,0.0093,0.00661,-0.00342,0.00052
0.04939,0.28901,0.13844,0.05324,0.02229,0.00374,0.0015
0.05117,0.38006,0.18661,0.07103,0.02857,0.00664,0.00188
0.05136,0.38722,0.19136,0.07295,0.02924,0.00695,0.00192
0.05385,0.46604,0.24546,0.09795,0.03803,0.01101,0.00244
0.05424,0.47799,0.25306,0.1019,0.03942,0.01165,0.00252
0.0619,0.69322,0.38462,0.1784,0.0663,0.02384,0.00405
0.06381,0.73495,0.41797,0.19718,0.07296,0.02677,0.00443
0.0646,0.75085,0.43178,0.20493,0.07572,0.02797,0.00459
0.06899,0.82474,0.50024,0.24665,0.09081,0.03435,0.00546
0.06986,0.837,0.51177,0.25471,0.09379,0.03558,0.00563
0.07552,0.90025,0.5694,0.29762,0.11253,0.04303,0.00678
0.08264,0.94948,0.61239,0.32866,0.13322,0.05111,0.0083
0.0874,0.96914,0.63125,0.34209,0.14465,0.05567,0.0094
0.09132,0.98015,0.64309,0.3508,0.15275,0.0589,0.01038
0.09163,0.98087,0.64392,0.35143,0.15335,0.05914,0.01046
0.10131,0.99554,0.66341,0.36771,0.16951,0.06549,0.01328
0.10405,0.99777,0.66722,0.37154,0.17338,0.06698,0.01421
0.1168,1.00274,0.67877,0.3865,0.1882,0.07263,0.01901
0.12837,1.0041,0.68382,0.39703,0.19813,0.07666,0.02286
0.1298,1.00416,0.68421,0.39816,0.19916,0.07712,0.02324
0.13336,1.00422,0.68502,0.40082,0.20158,0.07828,0.02406
0.14616,1.00359,0.68646,0.40842,0.20866,0.08222,0.02591
0.14903,1.00329,0.68657,0.40966,0.20994,0.08303,0.02619
0.16434,1.00087,0.68632,0.41293,0.21514,0.08678,0.02761
0.17012,0.99965,0.68582,0.41277,0.21637,0.08795,0.02836
0.17109,0.99943,0.68571,0.41268,0.21654,0.08814,0.02851
0.18007,0.99719,0.68435,0.41123,0.21752,0.0897,0.03029
0.19215,0.99361,0.68157,0.40866,0.21708,0.0915,0.03316
0.19605,0.99233,0.68045,0.40797,0.21657,0.09201,0.03398
0.20365,0.98965,0.678,0.40688,0.21523,0.09291,0.03505
0.21239,0.98627,0.6749,0.40597,0.21343,0.0938,0.03512
0.22284,0.98184,0.67103,0.40526,0.21163,0.0946,0.03422
0.22502,0.98088,0.67022,0.40515,0.21139,0.09473,0.03399
0.23569,0.97618,0.66637,0.40479,0.211,0.0951,0.0331
0.24228,0.97338,0.66417,0.40468,0.21128,0.09515,0.03293
0.25081,0.96997,0.66163,0.40464,0.21201,0.09506,0.03312
0.25785,0.9674,0.6599,0.40462,0.21274,0.09492,0.03358
0.26366,0.96545,0.65868,0.40455,0.21333,0.09482,0.03415
0.26844,0.96394,0.65778,0.40444,0.21374,0.09478,0.03472
0.27342,0.96243,0.65689,0.40424,0.21406,0.09478,0.03542
0.28879,0.95799,0.65395,0.40281,0.21445,0.09491,0.038
0.29835,0.95528,0.65127,0.40119,0.21432,0.095,0.03937
0.30346,0.9538,0.64928,0.40015,0.21416,0.09503,0.0398
0.30857,0.95228,0.64693,0.39905,0.21396,0.09504,0.03985
0.30875,0.95223,0.64684,0.39901,0.21395,0.09504,0.03985
0.31364,0.95071,0.64434,0.39792,0.21373,0.09503,0.03941
0.33451,0.9434,0.63447,0.39345,0.21368,0.09506,0.03596
0.33906,0.94166,0.63337,0.39262,0.21401,0.0951,0.03577
0.33994,0.94131,0.63321,0.39246,0.21409,0.09512,0.03577
0.34027,0.94118,0.63316,0.39241,0.21412,0.09512,0.03578
0.34739,0.93838,0.63248,0.39129,0.21486,0.09526,0.03617
0.35859,0.93396,0.63254,0.38984,0.21621,0.09562,0.03752
0.36758,0.93056,0.63252,0.38889,0.21729,0.09601,0.03883
0.37885,0.92647,0.63125,0.3879,0.21839,0.09658,0.04023
0.38265,0.92513,0.63053,0.38759,0.21859,0.09678,0.04048
0.39764,0.91992,0.62686,0.38649,0.21442,0.09763,0.03961
0.39803,0.91979,0.62675,0.38646,0.21407,0.09765,0.03954
0.39885,0.91951,0.62653,0.38641,0.21334,0.0977,0.0394
0.3994,0.91932,0.62638,0.38637,0.21287,0.09773,0.0393
0.39961,0.91924,0.62632,0.38635,0.21269,0.09774,0.03926
0.40469,0.91749,0.62496,0.38599,0.21066,0.09804,0.03824
