x,Curve1
-89.114,57.32
-83.082,69.855
-75.686,85.943
-67.523,98.264
-61.126,99.083
-56.101,91.956
-49.148,79.384
-42.203,63.465
-34.286,48.171
-27.136,37.691
-15.918,26.153
-3.724,18.379
8.67,13.742
21.454,10.359
33.465,8.024
51.097,5.883
59.429,5.441
