x,Curve1,Curve2
-89.948,2297,840.2
-89.776,2298,836.3
-75.091,2337,478.5
-74.353,2338,457.3
-61.378,2363,152.5
-57.001,2378,91.27
-53.453,2396,59.03
-43.985,2431,21.56
-40.42,2420,14.199
-35.481,2342,8.026
-27.882,1773,3.882
-24.47,1094.3,2.93
-22.074,576.6,2.456
-17.806,160.71,1.935
-14.819,57.91,1.77
-13.534,39.12,1.738
-8.887,15.147,1.74
-3.869,11.771,1.836
-3.83,11.774,1.837
6.343,16.021,2.067
9.084,18.06,2.141
20.648,30.68,2.645
20.789,30.87,2.653
31.193,45.4,3.377
35.872,52.72,3.739
42.175,65.48,4.208
48.785,84.01,4.709
58.164,121.38,5.689
59.192,126.4,5.818
